范湖,#genre#                                                                                                       


相声小品,http://39.134.39.37/PLTV/88888888/224/3221226260/index.m3u8


 
CCTV-1,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-2,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-2/1.m3u8
CCTV-3,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-3/1.m3u8 19:47:17



CCTV-03 综艺 高清,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-03 综艺 高清,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=80&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
CCTV-03 综艺 高清,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-04 中文国际 高清,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-04 中文国际 高清,http://39.134.155.215/PLTV/88888888/224/3221225641/index.m3u8

中文国际 高清,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
中文国际 高清,http://39.134.155.215/PLTV/88888888/224/3221225641/index.m3u8

CCTV-5,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5+,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-5+,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV-6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-7,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-7/1.m3u8
CCTV-8,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV-9,http://223.110.243.160/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8
CCTV-10,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-10/1.m3u8
CCTV-11,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-11/1.m3u8
CCTV-12,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-12/1.m3u8
CCTV-13,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-13/1.m3u8
CCTV-14,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-14/1.m3u8
CCTV-14,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV-15,http://117.169.124.43:6610/ysten-businessmobile/live/cctv-15/1.m3u8
