凤凰资讯频道,#genre#

CHC家庭影院,http://111.48.34.138/000000001000PLTV/88888888/224/3221230481/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000522
CHC动作电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230434/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000523
CHC影迷电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230483/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000539
CHC家庭影院,http://111.48.34.138/000000001000PLTV/88888888/224/3221230481/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000522#http://173.208.187.18:82/live/chcjt.m3u8?jsbt=1775602168&jsbk=b3e312842d4e77351948b1ad39db7447
CHC动作电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230434/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000523
CHC影迷电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230483/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000539
重温经典,http://8.138.7.223/tv/cwjd.php
华
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
CHC影迷电影,http://go.061899.xyz/mg/ymdy#http://173.208.128.194:82/live/chchd.m3u8?jsbt=1775602022&jsbk=90dad52e6b20fad4ec46114c229e17da
CHC动作电影,http://go.061899.xyz/mg/dzdy
CHC家庭影院,http://go.061899.xyz/mg/jtyy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC家庭影院,http://m.061899.xyz/mg/jtyy
周星驰,http://222.186.39.38:8000/028749/index.m3u8
周润发电影,http://222.186.39.38:8000/587078/index.m3u8
科幻电影,http://222.186.39.38:8000/882696/index.m3u8
复仇电影,http://222.186.39.38:8000/435615/index.m3u8
超级英雄系列,http://222.186.39.38:8000/091331/index.m3u8
赌片系列,http://222.186.39.38:8000/634435/index.m3u8
林正英,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342421

北京淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
中文国际4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=wasusyt&Contentid=4719673858948437836&livemode=1&stbId=yu&mode=1&
湖北经视,http://207.56.13.146:81/daili/hbjs.m3u8

CCTV-4,webview://https://www.yangshipin.cn/tv/home?pid=600001814

中文国际4频道,webview://https://tv.cctv.com/live/cctv4/m/index.shtml

中央电影6频道,webview://https://v.douyin.com/XbQOWa_gnEs/ 2@3.com :3pm
凤凰中文,https://migu.188766.xyz/?migutoken=216e33dbf0a6d151e62af73f2aa4475d&id=fhzw&pp=1#https://migu.188766.xyz/?migutoken=7c889cd8094d2d3adc7dc1351fba5d6f&id=hk_fhzw&type=dy

凤凰资讯台1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230647/1.m3u8
凤凰资讯台2,rtsp://111.48.34.138:1554/170000004112/HBGD1097583896160083968342677179

凤凰资讯3,http://rihou.cc:555/tv/[SX]凤凰资讯
中天新闻9,http://rihou.cc:555/tv/中天新闻
中天新闻8,http://8.218.84.3:8885/streams/3r3V_Qn-cML2RGlXnnrtDWvkqhjiNzzN7ryLHOA1KXuhOaqkZBa4c0c2MEi6TVuxr6_m2h8xR5s7DS5LWlZ44l0me4mjuttyK4ZUHKDWPeJxtvuwbGmRM-ejNivyw-p-T0Jau9hhcSOUSUwBZJTuAxl9Hnvil6o7KEx8LD6i4ZM-E2kB1Ya0PERsIVKTkYRssgONyPWJStTyhL82tBQ50aQCpDmzDcKYwY4QLtij5JcCl1InBNvxr5-GkNPEtcT1irlZzm3YiBmcEHR-u5YDeA.m3u8?ips=&u=1776595038
东森新闻1,http://156.238.248.80:8880/play/1058.274284.m3u8
东森新闻,http://rihou.cc:555/tv/东森新闻
环宇新闻,http://rihou.cc:555/tv/[Hk]寰宇新闻
中天新闻,http://rihou.cc:555/tv/[Hv]中天新聞
中天新闻1,http://119.91.7.169:2026/TW.php?id=中天新闻台
中天新闻2,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUn1weg9EIn8Xrh84byOMHltVE9N3WLtuC0KGqQoCGF3mOm0TSLdgPjhBprmGB4zyqQzA-hlku7ywqIzpIxD2NPouLpCdDfVvqCGLQHOouS1wFJfKeirbr0BNlIEcSWPoxar79xDEZh18C4Q3EZzV308KVQo0L5GaZ9n1h-yns8FSMwsfu2dThB5qEdAcL_EJ3eRscWGZ_PGZT3xHdBjigUA.m3u8?u=1756878715
中天新闻3,https://t.freetv.fun/live/zhong-tian-xin-wen-22.m3u8
中天新闻31,rtmp://demo2.anj365.com/live/xiangjiaoge-ztxw
中天新闻5,http://rihou.cc:555/tv/中天新闻
中天新闻6,http://46.38.157.60:53874/proxy/e02b3975691e34b3.m3u8
中天新闻7,http://156.238.248.80:8880/play/1055.995275.m3u8 
环宇新闻00,http://rihou.cc:555/tv/寰宇新闻
环宇新闻0,http://8.218.84.3:8885/streams/BHXnwiHKQ3iZaWXleICXtsqPt5tbLLKiDPSoxkX2pMVQjqWvf5uIfauSnT4wZTC5U3eijZNegFe9dFXnuPDaGVyTLpwLGBfJ3BOc0yrfF0b-Axov6aBCzwS0rHtm-McDD_1f4nkv-5hIWob7iYcbzXn0fIJCRH6BDvV1YWBqm7uEPEM3lQUKBUYxJm0PNbHmgUdGZ3AkcYWnm-VD7EpvJRMPvQ7PrwyArKpCdmg3c2oPSWf4QjMmg4-FsFxxhT9hx_7StUujfqSt82267lg7lQ.m3u8?ips=&u=1776607276
环宇新闻1,http://119.91.7.169:2026/TW.php?id=寰宇新闻台
玕宇新闻2,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUrjtaa4Sm6Zqst6X8-oz1Y-yX5WxfP9t3MAsEacmoHMAATkf95hBijDFAQIps_CljrY7cfUCax36RsGU9vHMakaqNys8flpfoZ32z0eID0KJ2STPZ2GH5xPG1alwz1Hp62UTKJuAYloprj_uyKumLdGq2pfUc7NXdljnUnLj3LSgPR9bjDEehNM6ZhUDcIxp6k6StsTsgfCFcB27k567Ffg.m3u8?u=1756878715
玕宇新闻3,http://rihou.cc:555/tv/寰宇新闻
台湾新闻TVB,http://iptv.4666888.xyz/iptv2A.php?id=43
中央2台抖音,webview://https://v.douyin.com/KBHfH108j2s/ 7@2.com :3pm
上海新闻综合,webview://https://live.kankanews.com/huikan?id=2

央视频道快,#genre#,-1#-1#null#null#starttime={start|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}&endtime={end|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}#null#0#-1#0
CCTV-1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000131#http://111.48.34.138/000000001000PLTV/88888888/224/3221229665/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230440/1.m3u8
CCTV-2,http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000357#http://111.48.34.138/000000001000PLTV/88888888/224/3221229893/1.m3u8
CCTV-3,http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391#http://111.48.34.138/000000001000PLTV/88888888/224/3221230150/1.m3u8
CCTV-4,http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000409#http://111.48.34.138/000000001000PLTV/88888888/224/3221229862/1.m3u8
CCTV-5,http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000322#http://111.48.34.138/000000001000PLTV/88888888/224/3221230165/1.m3u8
CCTV-5＋,http://111.48.34.138/000000001000PLTV/88888888/224/3221230455/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000503
CCTV-6,http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000392#http://111.48.34.138/000000001000PLTV/88888888/224/3221230154/1.m3u8
CCTV-7,http://111.48.34.138/000000001000PLTV/88888888/224/3221230442/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000358#http://111.48.34.138/000000001000PLTV/88888888/224/3221229895/1.m3u8
CCTV-8,http://111.48.34.138/000000001000PLTV/88888888/224/3221230445/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000393#http://111.48.34.138/000000001000PLTV/88888888/224/3221230169/1.m3u8
CCTV-9,http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000359#http://111.48.34.138/000000001000PLTV/88888888/224/3221229864/1.m3u8
CCTV-10,http://111.48.34.138/000000001000PLTV/88888888/224/3221230491/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000360#http://111.48.34.138/000000001000PLTV/88888888/224/3221229874/1.m3u8
CCTV-11,http://111.48.34.138/000000001000PLTV/88888888/224/3221230444/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000583#http://111.48.34.138/000000001000PLTV/88888888/224/3221229869/1.m3u8
CCTV-12,http://111.48.34.138/000000001000PLTV/88888888/224/3221230363/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000361#http://111.48.34.138/000000001000PLTV/88888888/224/3221229897/1.m3u8
CCTV-13,http://111.48.34.138/000000001000PLTV/88888888/224/3221230493/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000514
CCTV-14,http://111.48.34.138/000000001000PLTV/88888888/224/3221230447/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000362#http://111.48.34.138/000000001000PLTV/88888888/224/3221229868/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230446/1.m3u8
CCTV-15,http://111.48.34.138/000000001000PLTV/88888888/224/3221230495/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000587#http://111.48.34.138/000000001000PLTV/88888888/224/3221229861/1.m3u8
CCTV-16,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000612#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000629
CCTV-17,http://111.48.34.138/000000001000PLTV/88888888/224/3221229831/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000580
卫视频道快,#genre#,-1#-1#null#null#starttime={start|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}&endtime={end|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}#null#0#-1#0
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230509/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000194#rtsp://111.48.34.138:1554/170000004112/HBGD9934983436000788486629361083#http://111.48.34.138/000000001000PLTV/88888888/224/3221229812/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230457/1.m3u8
